Source Subdivision,Signal BaseName,base_is_other,Signal,Compute From Base,Name,Active,Short Description,Description,Source Name,Signal Set,"Pathogen/
Disease Area",Signal Type,Geographic Scope,Available Geography,Delphi-Aggregated Geography,Temporal Scope Start,Temporal Scope Start Note,Temporal Scope End,Temporal Scope End Note,Time Type,Time Label,Reporting Cadence,Typical Reporting Lag,Typical Revision Cadence,Demographic Scope,Demographic Breakdowns,Severity Pyramid Rungs,Data Censoring,Missingness,Value Label,Format,Category,High Values Are,Is Smoothed,Is Weighted,Is Cumulative,Has StdErr,Has Sample Size,Who may access this signal?,Who may be told about this signal?,License,Use Restrictions,Link to DUA,Link
chng,smoothed_outpatient_cli,FALSE,smoothed_outpatient_cli,FALSE,COVID-Related Doctor Visits,FALSE,Estimated percentage of outpatient doctor visits primarily about COVID-related symptoms,"Estimated percentage of outpatient doctor visits primarily about COVID-related symptoms, based on Change Healthcare claims data that has been de-identified in accordance with HIPAA privacy regulations, smoothed in time using a Gaussian linear smoother",Change Healthcare,Change Healthcare COVID-Related Doctor Visits,covid,Public behavior,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-01,NA,2024-02-19,NA,day,Date,daily,4-5 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 4-6 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 45 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Change Healthcare network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 100 or fewer observations,Data is available for nearly all (99%) of counties. Data is available for all states and some territories.,Value,raw,early,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/1GKYSFb6C_8jSHTg-65eVzSOT433oIDrf,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/chng.html
chng,smoothed_outpatient_cli,TRUE,smoothed_adj_outpatient_cli,FALSE,COVID-Related Doctor Visits (Day-adjusted),FALSE,,"Estimated percentage of outpatient doctor visits primarily about COVID-related symptoms, based on Change Healthcare claims data that has been de-identified in accordance with HIPAA privacy regulations, smoothed in time using a Gaussian linear smoother, and adjusted to reduce day-of-week effects",Change Healthcare,Change Healthcare COVID-Related Doctor Visits,covid,Outpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-01,NA,2024-02-19,NA,day,Date,daily,4-5 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 4-6 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 45 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Change Healthcare network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 100 or fewer observations,Data is available for nearly all (99%) of counties. Data is available for all states and some territories.,Value,raw,early,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/1GKYSFb6C_8jSHTg-65eVzSOT433oIDrf,
chng,smoothed_outpatient_covid,FALSE,smoothed_outpatient_covid,FALSE,COVID-Confirmed Doctor Visits,FALSE,COVID-Confirmed Doctor Visits,"Estimated percentage of outpatient doctor visits with confirmed COVID-19, based on Change Healthcare claims data that has been de-identified in accordance with HIPAA privacy regulations, smoothed in time using a Gaussian linear smoother",Change Healthcare,Change Healthcare COVID-Confirmed Doctor Visits,covid,Outpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-01,NA,2024-02-19,NA,day,Date,daily,4-5 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 4-6 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 45 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Change Healthcare network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 100 or fewer observations,Data is available for nearly all (99%) of counties. Data is available for all states and some territories.,Value,raw,early,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/1GKYSFb6C_8jSHTg-65eVzSOT433oIDrf,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/chng.html
chng,smoothed_outpatient_covid,TRUE,smoothed_adj_outpatient_covid,FALSE,COVID-Confirmed Doctor Visits (Day-adjusted),FALSE,,"Estimated percentage of outpatient doctor visits with confirmed COVID-19, based on Change Healthcare claims data that has been de-identified in accordance with HIPAA privacy regulations, smoothed in time using a Gaussian linear smoother, and adjusted to reduce day-of-week effects",Change Healthcare,Change Healthcare COVID-Confirmed Doctor Visits,covid,Outpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-01,NA,2024-02-19,NA,day,Date,daily,4-5 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 4-6 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 45 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Change Healthcare network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 100 or fewer observations,Data is available for nearly all (99%) of counties. Data is available for all states and some territories.,Value,raw,early,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/1GKYSFb6C_8jSHTg-65eVzSOT433oIDrf,
chng,smoothed_outpatient_flu,FALSE,smoothed_outpatient_flu,FALSE,Influenza-Confirmed Doctor Visits,FALSE,Estimated percentage of outpatient doctor visits with confirmed influenza,"Estimated percentage of outpatient doctor visits with confirmed influenza, based on Change Healthcare claims data that has been de-identified in accordance with HIPAA privacy regulations, smoothed in time using a Gaussian linear smoother",Change Healthcare,Change Healthcare Influenza-Confirmed Doctor Visits,flu,Outpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-01,NA,2024-02-19,NA,day,Day,daily,4-5 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 4-6 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 45 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Change Healthcare network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 100 or fewer observations,Data is available for nearly all (99%) of counties. Data is available for all states and some territories.,Value,raw,early,bad,TRUE,FALSE,FALSE,,,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/1GKYSFb6C_8jSHTg-65eVzSOT433oIDrf,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/chng.html
chng,smoothed_outpatient_flu,TRUE,smoothed_adj_outpatient_flu,FALSE,Influenza-Confirmed Doctor Visits (Day-adjusted),FALSE,,"Estimated percentage of outpatient doctor visits with confirmed influenza, based on Change Healthcare claims data that has been de-identified in accordance with HIPAA privacy regulations, smoothed in time using a Gaussian linear smoother, and adjusted to reduce day-of-week effects",Change Healthcare,Change Healthcare Influenza-Confirmed Doctor Visits,flu,Outpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-01,NA,2024-02-19,NA,day,Day,daily,4-5 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 4-6 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 45 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Change Healthcare network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 100 or fewer observations,Data is available for nearly all (99%) of counties. Data is available for all states and some territories.,Value,raw,early,bad,TRUE,FALSE,FALSE,,,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/1GKYSFb6C_8jSHTg-65eVzSOT433oIDrf,
chng,7dav_inpatient_covid,FALSE,7dav_inpatient_covid,FALSE,"Inpatient COVID hospitalizations, 7 day average",FALSE,"Ratio of inpatient hospitalizations associated with COVID-19, smoothed in time with a trailing 7 day average","Ratio of inpatient hospitalizations associated with COVID-19, based on Change Healthcare claims data that has been de-identified in accordance with HIPAA privacy regulations, smoothed in time with a trailing 7 day average. This historical signal is no longer updated.",Change Healthcare,Change Healthcare COVID-Confirmed Doctor Visits,covid,Inpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-01-18,NA,2023-08-01,NA,day,Day,daily,4-5 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 4-6 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 45 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Change Healthcare network,None,hospitalized,Discarded if over a given 7-day period an estimate is computed with 100 or fewer observations,Data is available for nearly all (99%) of counties. Data is available for all states and some territories.,Value,raw,early,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/1GKYSFb6C_8jSHTg-65eVzSOT433oIDrf,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/chng.html
chng,7dav_outpatient_covid,FALSE,7dav_outpatient_covid,FALSE,"Outpatient COVID visits, 7 day average",FALSE,"Ratio of outpatient doctor visits with confirmed COVID-19, smoothed in time with a trailing 7 day average","Ratio of outpatient doctor visits with confirmed COVID-19, based on Change Healthcare claims data that has been de-identified in accordance with HIPAA privacy regulations, smoothed in time with a trailing 7 day average. This historical signal is no longer updated.",Change Healthcare,Change Healthcare COVID-Confirmed Doctor Visits,covid,Outpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-03,NA,2023-08-01,NA,day,Day,daily,4-5 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 4-6 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 45 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Change Healthcare network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 100 or fewer observations,Data is available for nearly all (99%) of counties. Data is available for all states and some territories.,Value,raw,early,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/1GKYSFb6C_8jSHTg-65eVzSOT433oIDrf,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/chng.html
covid-act-now,pcr_specimen_positivity_rate,FALSE,pcr_specimen_positivity_rate,FALSE,PCR Test Positivity Rate,FALSE,Proportion of PCR specimens tested that have a positive result,Proportion of PCR specimens tested that have a positive result,Covid Act Now (CAN),Covid Act Now COVID-19 PCR Test Positivity Rate,covid,Testing,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-03-01,NA,2021-12-02,NA,day,Date,daily,2-9 days,"Daily. Most recent test positivity rates do not change substantially (having a median delta of close to 0). However, most recent total tests performed are expected to increase in later data revisions (having a median increase of 7%). Values more than 5 days in the past are expected to remain fairly static (with total tests performed having a median increase of 1% of less), as most major revisions have already occurred.",Hospital patients,None,infected,Discarded if sample size (total tests performed) is 0,"Data is available for nearly all (99%) of counties. A few counties, most notably in California, are not covered by this data source Data is available for all states.",Value,fraction,cases_testing,bad,FALSE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/covid-act-now.html
covid-act-now,pcr_specimen_total_tests,FALSE,pcr_specimen_total_tests,FALSE,Total Number of PCR Tests,FALSE,Total number of PCR specimens tested,Total number of PCR specimens tested,Covid Act Now (CAN),Covid Act Now COVID-19 PCR Tests,covid,Testing,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-03-01,NA,2021-12-02,NA,day,Date,daily,2-9 days,"Daily. Most recent test positivity rates do not change substantially (having a median delta of close to 0). However, most recent total tests performed are expected to increase in later data revisions (having a median increase of 7%). Values more than 5 days in the past are expected to remain fairly static (with total tests performed having a median increase of 1% of less), as most major revisions have already occurred.",Hospital patients,None,population,Discarded if sample size (total tests performed) is 0,"Data is available for nearly all (99%) of counties. A few counties, most notably in California, are not covered by this data source Data is available for all states.",Value,count,cases_testing,good,FALSE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/covid-act-now.html
